,hh_key,hhincome_eq_percapita
0,10-1001502,high
1,10-1001505,low
2,10-1001507,high
3,10-1002504,high
4,10-1002525,low
5,10-1002536,low
6,10-1002549,low
7,10-1002555,medium
8,10-1002559,low
9,10-1003503,low
10,10-1003519,low
11,10-1003528,low
12,10-1003543,low
13,10-1004503,high
14,10-1004504,low
15,10-1004514,medium
16,10-1004521,low
17,10-1004528,high
18,10-1004537,medium
19,10-1004547,medium
20,10-1004549,high
21,10-1004555,high
22,10-1004561,high
23,10-1005505,high
24,10-1005520,high
25,10-1005522,medium
26,10-1005530,high
27,10-1005533,high
28,10-1005540,medium
29,10-1006503,medium
30,10-1006507,low
31,10-1006516,medium
32,10-1008531,low
33,10-1008556,medium
34,10-1009503,low
35,10-1009505,medium
36,10-1009507,medium
37,10-1009509,low
38,10-1010501,high
39,10-1010507,high
40,10-1010508,high
41,10-1010520,medium
42,10-1010521,medium
43,10-1010525,medium
44,10-1010530,high
45,10-1010536,medium
46,10-1010549,low
47,10-1010555,low
48,10-1010576,medium
49,10-1010582,low
50,10-1010583,low
51,10-1011503,medium
52,10-1011514,medium
53,10-1011519,low
54,10-1012506,medium
55,10-1012507,medium
56,10-1012518,medium
57,10-1012524,medium
58,10-1013504,low
59,10-1013506,medium
60,10-1013516,low
61,10-1013520,low
62,10-1013530,high
63,10-1013540,low
64,10-1013546,low
65,10-1014510,medium
66,10-1014522,high
67,10-1014525,low
68,10-1014533,high
69,10-1015510,medium
70,10-1015514,high
71,10-1015517,medium
72,10-1015522,low
73,10-1015526,low
74,10-1015547,high
75,10-1015549,medium
76,10-1015560,low
77,10-1015564,medium
78,10-1015566,medium
79,10-1016506,low
80,10-1016509,medium
81,10-1017507,low
82,10-1017513,medium
83,10-1017517,low
84,10-1017524,low
85,10-1017526,low
86,10-1017550,low
87,10-1017551,low
88,10-1017554,low
89,10-1018515,low
90,10-1018519,high
91,10-1018531,medium
92,10-1019501,low
93,10-1019504,medium
94,10-1019511,low
95,10-1019513,low
96,10-1019519,low
97,10-1019521,medium
98,10-1019532,low
99,10-1019533,low
100,10-1019536,medium
101,10-1019537,low
102,10-1019543,low
103,10-1020508,low
104,10-1020516,low
105,10-1020518,low
106,10-1020519,low
107,10-1020529,low
108,10-1020532,low
109,10-1020534,medium
110,10-1020537,high
111,10-1020539,medium
112,10-1020546,medium
113,10-1020548,medium
114,10-1023514,medium
115,10-1023516,medium
116,10-1023517,low
117,10-1024501,high
118,10-1024514,high
119,10-1024516,low
120,10-1024519,low
121,10-1025517,medium
122,10-1025532,low
123,10-1025541,high
124,10-1025545,high
125,10-1025550,high
126,10-1025553,high
127,10-1025561,high
128,10-1025566,high
129,10-1026505,medium
130,10-1026515,high
131,10-1026521,low
132,10-1026523,low
133,10-1026530,high
134,10-1026536,medium
135,10-1026544,high
136,10-1026545,medium
137,10-1026553,medium
138,10-1027507,low
139,10-1027517,high
140,10-1027521,low
141,10-1027546,high
142,10-1028515,low
143,10-1028545,low
144,10-1028563,medium
145,10-1028567,medium
146,10-1029505,low
147,10-1029507,medium
148,10-1029509,medium
149,10-1029516,low
150,10-1029521,low
151,10-1029531,low
152,10-1029533,low
153,10-1029535,medium
154,10-1029536,low
155,10-1029547,low
156,10-1030510,medium
157,10-1030520,low
158,10-1030538,high
159,10-1030543,high
160,10-1030552,low
161,10-1030553,low
162,10-1030554,medium
163,10-1030559,high
164,10-1030584,low
165,10-1030613,medium
166,10-1030628,medium
167,10-1030631,high
168,10-1030632,medium
169,10-1030637,low
170,10-1031509,high
171,10-1031511,high
172,10-1031515,medium
173,10-1031561,medium
174,10-1032502,high
175,10-1032506,medium
176,10-1032523,medium
177,10-1033505,high
178,10-1033511,medium
179,10-1033520,medium
180,10-1033535,high
181,10-1033548,medium
182,10-1033549,medium
183,10-1033550,medium
184,10-1033551,high
185,10-1033553,high
186,10-1033554,medium
187,10-1033556,medium
188,10-1033561,high
189,10-1033567,medium
190,10-1035510,medium
191,10-1035541,high
192,10-1035596,high
193,10-1035597,high
194,10-1035609,high
195,10-1035638,high
196,10-1036506,low
197,10-1036511,medium
198,10-1036512,high
199,10-1036515,high
200,10-1036518,high
201,10-1036525,medium
202,10-1036526,high
203,10-1037515,medium
204,10-1039502,high
205,10-1039511,high
206,10-1040503,low
207,10-1040518,medium
208,10-1040519,medium
209,10-1040525,medium
210,10-1040535,low
211,10-1040548,medium
212,10-1040560,medium
213,10-1040561,high
214,10-1040566,medium
215,10-1040579,high
216,10-1040584,medium
217,10-1041513,high
218,10-1041521,medium
219,10-1041536,high
220,10-1041539,medium
221,10-1041540,high
222,10-1041543,low
223,10-1042506,medium
224,10-1042511,low
225,10-1042515,high
226,10-1042531,medium
227,10-1042539,medium
228,10-1043505,low
229,10-1043511,low
230,10-1043520,medium
231,10-1043532,low
232,10-1043536,medium
233,10-1043572,low
234,10-1043573,low
235,10-1043576,low
236,10-1043586,high
237,10-1044519,high
238,10-1044520,low
239,10-1045515,low
240,10-1045524,low
241,10-1045537,medium
242,10-1045543,low
243,10-1045546,low
244,10-1045556,low
245,10-1045558,low
246,10-1045562,low
247,10-1045573,medium
248,10-1045574,medium
249,10-1045586,high
250,10-1048502,medium
251,10-1048504,high
252,10-1048507,medium
253,10-1050503,low
254,10-1050505,medium
255,10-1051504,high
256,10-1051515,high
257,10-1051520,medium
258,10-1051524,medium
259,10-1052511,low
260,10-1052512,low
261,10-1052513,low
262,10-1052535,high
263,10-1052536,medium
264,10-1052542,high
265,10-1052548,low
266,10-1053522,high
267,10-1053535,low
268,10-1053537,high
269,10-1053548,high
270,10-1053550,high
271,10-1053552,high
272,10-1053553,medium
273,10-1053559,medium
274,10-1054504,high
275,10-1054505,low
276,10-1054507,low
277,10-1054511,low
278,10-1067510,high
279,10-1067511,medium
280,10-1067522,low
281,10-1067530,medium
282,10-1067540,medium
283,10-1067548,low
284,10-1067549,medium
285,10-1067555,high
286,10-1067563,low
287,10-1068504,low
288,10-1068513,medium
289,10-1068518,medium
290,10-1068521,low
291,10-1068524,medium
292,10-1068527,low
